180,1506401,15,Santa Cruz do Arari
181,1507904,15,Soure
182,1500800,15,Ananindeua
183,1501303,15,Barcarena
184,1501402,15,Belem
185,1501501,15,Benevides
186,1504422,15,Marituba
187,1506351,15,Santa Barbara do Para
188,1501907,15,Bujaru
189,1502400,15,Castanhal
190,1503408,15,Inhangapi
191,1506500,15,Santa Isabel do Para
192,1507003,15,Santo Antonio do Taua
193,1502608,15,Colares
194,1502905,15,Curuca
195,1504109,15,Magalhaes Barata
196,1504307,15,Maracana
197,1504406,15,Marapanim
198,1506203,15,Salinopolis
199,1507102,15,Sao Caetano de Odivelas
200,1507466,15,Sao Joao da Ponta
201,1507474,15,Sao Joao de Pirabas
202,1507961,15,Terra Alta
203,1508209,15,Vigia
204,1500909,15,Augusto Correa
205,1501600,15,Bonito
206,1501709,15,Braganca
207,1502202,15,Capanema
208,1503200,15,Igarape-Acu
209,1505007,15,Nova Timboteua
210,1505601,15,Peixe-Boi
211,1506104,15,Primavera
212,1506112,15,Quatipuru
213,1506609,15,Santa Maria do Para
214,1506906,15,Santarem Novo
215,1507409,15,Sao Francisco do Para
216,1508035,15,Tracuateua
217,1500107,15,Abaetetuba
218,1501204,15,Baiao
219,1502103,15,Cameta
220,1503309,15,Igarape-Miri
221,1504000,15,Limoeiro do Ajuru
222,1504604,15,Mocajuba
223,1505205,15,Oeiras do Para
224,1500206,15,Acara
225,1502756,15,Concordia do Para
226,1504703,15,Moju
227,1507953,15,Tailandia
228,1508001,15,Tome-Acu
229,1500958,15,Aurora do Para
230,1501956,15,Cachoeira do Piria
231,1502301,15,Capitao Poco
232,1503077,15,Garrafao do Norte
233,1503457,15,Ipixuna do Para
234,1503507,15,Irituia
235,1504059,15,Mae do Rio
236,1504950,15,Nova Esperanca do Piria
237,1505403,15,Ourem
238,1506559,15,Santa Luzia do Para
239,1507201,15,Sao Domingos do Capim
240,1507607,15,Sao Miguel do Guama
241,1508308,15,Viseu
242,1501006,15,Aveiro
243,1503606,15,Itaituba
244,1503754,15,Jacareacanga
245,1505031,15,Novo Progresso
246,1506195,15,Ruropolis
247,1508050,15,Trairao
248,1500602,15,Altamira
249,1500859,15,Anapu
250,1501725,15,Brasil Novo
251,1504455,15,Medicilandia
252,1505486,15,Pacaja
253,1507805,15,Senador Jose Porfirio
254,1508159,15,Uruara
255,1508357,15,Vitoria do Xingu
256,1501782,15,Breu Branco
257,1503705,15,Itupiranga
258,1503804,15,Jacunda
259,1504976,15,Nova Ipixuna
260,1505064,15,Novo Repartimento
261,1508100,15,Tucurui
262,1500131,15,Abel Figueiredo
263,1501576,15,Bom Jesus do Tocantins
264,1502939,15,Dom Eliseu
265,1503093,15,Goianesia do Para
266,1505502,15,Paragominas
267,1506187,15,Rondon do Para
268,1508126,15,Ulianopolis
269,1501253,15,Bannach
270,1502764,15,Cumaru do Norte
271,1505437,15,Ourilandia do Norte
272,1507300,15,Sao Felix do Xingu
273,1508084,15,Tucuma
274,1500347,15,Agua Azul do Norte
